text,language,speaker_id,accent,audio_path,duration_sec,is_augmented
ഇരുട്ടില് മറഞ്ഞിരിക്കുന്നു ചക്രവാളത്തിനുമപ്പുറം,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_17.wav,5.87,False
"det var bestemt trolden i dåsen, der var skyld deri.",da,68ba03668d752bacc8206a9ee71fcca3f74ef3aa24edd627059ff3c3b02702184aa8a23180775f5589ed106fc3ad4bed46a40bb03a3f1e5f687801c4ff640891,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_143.wav,4.39,False
Не сум единствен кога станува збор за тоа.,mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_207.wav,3.28,False
"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",mk,08b8d2e7b1c23cae12238392de0f3fe700ad87123f71e78fa2574b97913773be2df9fd85215fbc000148cc479abdf5e49434ddc805bea8b64945f3036ab6febc,Типичен скопски акцент,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_15.wav,6.16,False
"Die laaste aspek wat jy moet oorweeg, is betrokkenheid.",af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_72.wav,4.93,False
Во сопствените мисли веќе ја имаше здогледано лошата вест.,mk,08b8d2e7b1c23cae12238392de0f3fe700ad87123f71e78fa2574b97913773be2df9fd85215fbc000148cc479abdf5e49434ddc805bea8b64945f3036ab6febc,Типичен скопски акцент,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_41.wav,5.04,False
"Пиктограмите се цртежи на предметите, а на јазично ниво тие одговараат на речениците.",mk,08b8d2e7b1c23cae12238392de0f3fe700ad87123f71e78fa2574b97913773be2df9fd85215fbc000148cc479abdf5e49434ddc805bea8b64945f3036ab6febc,Типичен скопски акцент,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_36.wav,6.23,False
വര്ഷങ്ങളോളം ഞാന് അതു ചെയ്തില്ല,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_104.wav,3.06,False
బీదసాద నెంతొ యాదరించి,te,a5ee7de1787c952040d904c9ea437f8b52a30ccf948dd08bccfdfb207553084624f92fdb7c118868db54b652d7b1519fb941ae02616998d0fe1b0aa5b699061e,te_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\te\te_13.wav,4.18,False
Hy het baie struikelblokke teëgekom op pad om sy doelwitte te bereik.,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_18.wav,5.4,False
"El que muncho se rasca, sangre saca.",ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_119.wav,4.68,False
Не си доволно стар за да смееш да пиеш алкохол.,mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_80.wav,3.28,False
Сакам да собирам поштенски марки од различни земји.,mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_196.wav,4.5,False
നിങ്ങളെ കാണാൻ ഒരു സിക്കന്ധറിനെ പോലെയുണ്ട്,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_14.wav,4.0,False
Yá tuvo presente en dalgunes carreres del añu pasáu y tamién tuvo nel simulador.,ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_100.wav,6.77,False
Утрото е папочната врвца на светот со вселената.,mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_187.wav,3.74,False
Потсети ме утре да се јавам на техничка подршка.,mk,08b8d2e7b1c23cae12238392de0f3fe700ad87123f71e78fa2574b97913773be2df9fd85215fbc000148cc479abdf5e49434ddc805bea8b64945f3036ab6febc,Типичен скопски акцент,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_6.wav,4.32,False
han knebrede og storkemor knebrede.,da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_14.wav,4.07,False
"Одеа несигурно пред папуанската толпа, попарени и намалени без државна или конзулска заштита.",mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_99.wav,6.84,False
"Наумничавост на вкусот, недостиг на подобра идеја?",mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_113.wav,4.25,False
ഞങ്ങള്ക്ക് ഒരു പൈലറ്റിനെ ആവശ്യമാണ്,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_46.wav,2.7,False
Det er meget rigtigt!,da,3ee87767b4fe7506916b3408432877dae498df2d0e0f8f8f1e3052e38fef0fc6fcf09e7e64e9a9a8fcfd83cb063f80061d28f6a9eba4e650d579f5d6a6751f8f,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_120.wav,2.27,False
Hver af de vise mænd fra Østerland!,da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_55.wav,3.1,False
అతిథిజనుల వీడి అభ్యాగతుల వీడి,te,d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382,"Telangana,Andhra",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\te\te_0.wav,4.18,False
Lige ud ad landevejen,da,68ba03668d752bacc8206a9ee71fcca3f74ef3aa24edd627059ff3c3b02702184aa8a23180775f5589ed106fc3ad4bed46a40bb03a3f1e5f687801c4ff640891,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_119.wav,4.03,False
ഞാന് അയാളോട് അതൊന്നും പറഞ്ഞിട്ടില്ല,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_137.wav,3.35,False
Научи ги сите нивни тајни и издавај ги.,mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_106.wav,3.1,False
జవముచేత వెలుగు సైంధవంబు,te,a5ee7de1787c952040d904c9ea437f8b52a30ccf948dd08bccfdfb207553084624f92fdb7c118868db54b652d7b1519fb941ae02616998d0fe1b0aa5b699061e,te_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\te\te_33.wav,4.79,False
ഇനി നമുക്കൊപ്പം അദ്ദേഹം അവതരിപ്പിച്ച് അനശ്വരമാക്കിയ കഥാപാത്രങ്ങൾ മാത്രം.,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_119.wav,5.58,False
"Hy geniet alkoholiese drankies, soos bier en wyn.",af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_35.wav,4.86,False
»Lad os saa høre den Tredie!,da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_49.wav,2.34,False
Die Program van Assessering vir Besigheidstudies bestaan uit sewe take wat intern geassesseer word.,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_7.wav,7.52,False
Ek het vir ’n tyd Pools gestudeer,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_15.wav,4.28,False
Die leerder moet kennis dra van verskillende beroepsmoontlikhede en die implikasies van keuses.,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_4.wav,6.88,False
తెలుగుసవ్యసాచి మన కృష్ణరాయుడు,te,760d15af6f635c722819c84325e8889ca77a3eda0b24a06c222308612ce2277e82db5e76e29a516844032b57bbcddab9d9fda24e306db90287499de88d97b2cb,guntur krishna delta region,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\te\te_49.wav,4.18,False
Ek eet dikwels smiddae vis,af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_73.wav,3.6,False
Og Maren kastede sit forklæde over lille Rasmus.,da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_38.wav,4.79,False
Ella nun lu dexaba nin averase a casa.,ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_74.wav,4.18,False
Is die inligting betroubaar?,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_9.wav,3.64,False
"Lomas, at jeg som formand havde udtrykt mig helt klart.",da,68ba03668d752bacc8206a9ee71fcca3f74ef3aa24edd627059ff3c3b02702184aa8a23180775f5589ed106fc3ad4bed46a40bb03a3f1e5f687801c4ff640891,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_87.wav,4.86,False
ഞാനിപ്പോള് ഫേസ്ബുക്കിൽ അപ്ലോഡ് ചെയ്യുകയാണ്,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_68.wav,3.42,False
"Nå, hvor han spilede øjnene op",da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_53.wav,3.42,False
"Кој не сака да почне одново, кој?",mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_192.wav,3.1,False
In noodgevalle sal die mediese noodbeampte die pasiënt na die gepaste mediese fasiliteit vervoer.,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_19.wav,7.34,False
Тој станува со кокошките.,mk,08b8d2e7b1c23cae12238392de0f3fe700ad87123f71e78fa2574b97913773be2df9fd85215fbc000148cc479abdf5e49434ddc805bea8b64945f3036ab6febc,Типичен скопски акцент,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_58.wav,2.88,False
Ja der er kommet en ny!,da,9b5b8cf583fccc34546eb5f318939546d0abb5fdcbfda84b713f9cd5f1089a0f48bf998a7b8d5c376e837f98916d529d5a44b998bf9ca9a4a774243dbd714ec6,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_111.wav,3.06,False
Det er der ingen som tror,da,9b5b8cf583fccc34546eb5f318939546d0abb5fdcbfda84b713f9cd5f1089a0f48bf998a7b8d5c376e837f98916d529d5a44b998bf9ca9a4a774243dbd714ec6,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_91.wav,3.78,False
പിന്നെ എനിക്കായി ഉണ്ടായിരുന്ന,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_116.wav,3.42,False
Nu går jeg lige op i solen,da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_32.wav,2.2,False
ശരി അതിനിയും സംഭവിച്ചാല് ഉറക്കെ,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_81.wav,4.61,False
Del osu aprovechábase l'untu pa frotar con él pa curar el reuma.,ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_132.wav,5.69,False
Dit ondersteun ook ekonomiese groei om die skep van broodnodige werksgeleenthede te bevorder.,af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_36.wav,6.48,False
